Bandwidth,CV Score,CV Likelihood
10,1.0000,-0.0036
11,1.0000,-0.0447
12,1.0000,-0.0572
13,1.0000,-0.0572
14,1.0000,-0.1299
15,1.0000,-0.1740
16,1.0000,-0.1749
17,1.0000,-0.1749
18,1.0000,-0.1830
19,1.0000,-0.1864
20,1.0000,-0.1714
21,1.0000,-0.1772
22,1.0000,-0.1785
23,1.0000,-0.1927
24,1.0000,-0.1937
25,1.0000,-0.2313
26,1.0000,-0.2376
27,1.0000,-0.2731
28,1.0000,-0.2772
29,1.0000,-0.3409
30,1.0000,-0.3775
31,1.0000,-0.4076
32,1.0000,-0.4770
33,1.0000,-0.4927
34,1.0000,-0.5955
35,1.0000,-0.7724
36,1.0000,-0.8386
37,0.9933,-0.9310
38,0.9933,-1.1072
39,0.9933,-1.1450
40,0.9933,-1.1816
41,0.9933,-1.2477
42,0.9933,-1.4280
43,0.9933,-1.4893
44,0.9933,-1.6622
45,0.9933,-1.8473
46,0.9933,-2.0107
47,0.9933,-2.4555
48,0.9933,-2.5785
