Bandwidth,CV Score,CV Likelihood
10,1.0000,-0.1369
11,1.0000,-0.1130
12,0.9933,-1.0283
13,0.9933,-1.0318
14,0.9933,-1.6647
15,1.0000,-0.2838
16,1.0000,-0.1430
17,1.0000,-0.1464
18,1.0000,-0.2767
19,1.0000,-0.3059
20,1.0000,-0.3017
21,1.0000,-0.5373
22,1.0000,-0.5842
23,1.0000,-0.5347
24,1.0000,-0.5699
25,0.9933,-1.1225
26,0.9933,-1.3890
27,0.9933,-1.6770
28,0.9933,-1.7250
29,0.9933,-2.1559
30,0.9933,-2.6716
31,0.9867,-3.1548
32,0.9867,-3.2752
33,0.9867,-3.2831
34,0.9867,-4.1287
35,0.9867,-4.9537
36,0.9867,-4.8831
37,0.9867,-5.1515
38,0.9800,-5.3040
39,0.9800,-5.3373
40,0.9800,-5.4791
41,0.9800,-5.6986
42,0.9800,-5.6405
43,0.9800,-5.8518
44,0.9800,-6.1308
45,0.9800,-6.7991
46,0.9800,-6.9057
47,0.9800,-6.9109
48,0.9800,-7.0452
