Number,SepalLengthTransform,SepalWidthTransform,PetalLengthTransform,PetalWidthTransform
145,1.8643,0.3815,-0.2537,-0.3876
140,2.0094,0.6084,-0.4245,-0.2459
120,2.0337,0.9044,-0.2311,-0.1666
136,1.5749,1.0689,-0.9402,-0.0335
135,2.7916,0.8419,0.5452,-0.2953
115,1.5865,0.6748,-0.6345,-0.1900
148,1.3718,1.0130,-0.9283,-0.0241
114,1.4592,-0.4427,-1.0008,-0.2741
143,2.0365,0.8618,-0.3341,-0.0441
118,3.2981,-0.0024,0.7046,-0.0466
141,1.8968,0.6837,-0.1274,-0.4676
144,1.9950,1.0450,-0.6272,-0.2119
109,2.2600,1.9150,-0.3912,-0.1026
104,1.8617,0.2902,-0.3927,0.0167
100,1.8415,0.8688,-0.9994,0.0509
117,2.4292,2.5482,0.1338,0.2747
132,1.8542,-0.1841,-0.3522,-0.0997
124,1.6986,1.0108,-0.2950,0.0625
112,1.8780,0.4129,-0.0245,-0.1458
128,1.7800,-0.1926,-0.2691,-0.0311
102,2.1990,0.5526,0.2048,-0.0591
139,1.8474,0.6702,0.0148,-0.1942
105,2.7450,0.7858,0.5843,0.1005
110,1.3613,0.6916,-0.2823,-0.1067
147,1.5158,0.2659,-0.1787,-0.1185
113,1.2489,-1.1635,-0.5802,-0.0993
131,2.3083,2.6174,0.4980,0.2124
122,2.8884,0.3965,0.8581,0.1257
121,0.9707,-0.5693,-0.8267,-0.0272
111,1.5937,-0.4268,-0.0232,-0.0587
146,1.5533,-0.9023,0.0253,-0.2206
130,2.4274,0.2458,0.7278,0.0167
142,1.1493,-0.6990,-0.5297,0.0403
101,1.1493,-0.6990,-0.5297,0.0403
125,1.9512,1.0000,0.4214,0.2177
137,1.3425,0.4208,-0.1794,0.2152
107,2.2953,0.4081,0.6520,0.2364
70,0.7358,0.4011,-0.6147,0.0842
108,1.9951,-0.7214,0.3928,0.0847
126,1.1680,-0.3178,-0.1302,-0.1253
116,1.4664,0.2523,-0.0365,0.1549
103,1.4339,-0.0498,-0.1628,0.2350
149,0.9561,-0.0222,-0.5270,0.1631
127,1.0164,0.0653,-0.3369,0.0090
138,0.9203,0.0192,-0.4160,-0.0047
123,1.3248,-0.4851,0.0047,-0.1401
77,1.3537,0.3277,0.2606,-0.0668
106,0.3572,-1.5549,-0.9877,0.1325
83,1.0532,-0.6348,-0.1064,0.1828
129,1.8586,0.5535,0.7151,0.2069
56,0.7462,0.7761,-0.1482,0.0780
85,0.4303,0.8523,-0.4492,0.1108
54,1.0690,-0.2111,0.3961,-0.1052
61,0.4373,-0.0587,-0.2060,-0.0397
72,1.2239,-0.9378,0.3655,0.0084
68,1.2112,-1.6279,0.4778,-0.2275
52,1.2380,0.6128,0.5530,-0.0096
84,0.2207,-0.2799,-0.6653,0.2547
51,0.7300,0.5966,0.0938,-0.0044
133,1.1076,-0.2950,0.1820,0.1851
86,1.0459,0.5205,0.3948,-0.0372
78,0.6599,-0.2236,-0.0871,0.0362
66,0.3468,-0.1900,-0.4912,0.1914
119,1.2498,-1.7118,0.2637,0.0629
37,-2.1814,-0.4471,0.2457,0.0398
9,-2.1814,-0.4471,0.2457,0.0398
12,-2.2167,-0.7068,0.2225,-0.0026
34,-2.1814,-0.4471,0.2457,0.0398
32,-2.5995,1.8224,-0.0512,0.2311
13,-2.6309,-0.9351,-0.1889,0.0194
76,1.2500,-0.0823,0.7244,-0.0407
75,0.8706,0.2499,0.4706,-0.1018
50,1.1003,0.8602,0.6833,-0.0349
134,1.1935,-0.8144,0.1627,0.4868
63,0.7148,-0.1848,0.0671,0.1640
91,0.6211,0.0275,0.0192,0.1472
65,0.8730,0.5083,0.5018,-0.1048
59,0.0050,-1.0260,-0.5411,0.0283
49,-2.1986,0.0321,0.1461,-0.0486
47,-2.3902,-0.3612,-0.1464,0.0493
8,-2.3341,-1.0915,-0.1530,0.0267
