Number,SepallengthZScore,SepalWidthZScore,PetalLengthZScore,PetalWidthZScore
145,1.0345,-0.1245,0.8169,1.4431
140,1.0345,0.1061,1.0436,1.5742
120,1.2761,0.3367,1.1003,1.4431
136,0.5515,0.7980,1.0436,1.5742
135,2.2422,-0.1245,1.3270,1.4431
115,0.6722,0.3367,0.8736,1.4431
148,0.4307,0.7980,0.9302,1.4431
114,-0.0523,-0.5858,0.7602,1.5742
143,1.1553,0.3367,1.2136,1.4431
118,2.2422,-1.0471,1.7804,1.4431
141,1.2761,0.1061,0.7602,1.4431
144,1.0345,0.5674,1.1003,1.7052
109,1.6384,1.2592,1.3270,1.7052
104,0.7930,-0.1245,1.1569,1.3121
100,0.5515,0.5674,1.2703,1.7052
117,2.2422,1.7205,1.6670,1.3121
132,0.6722,-0.5858,1.0436,1.3121
124,1.0345,0.5674,1.1003,1.1811
112,1.1553,-0.1245,0.9869,1.1811
128,0.6722,-0.5858,1.0436,1.1811
102,1.5176,-0.1245,1.2136,1.1811
139,1.2761,0.1061,0.9302,1.1811
105,2.1214,-0.1245,1.6103,1.1811
110,0.7930,0.3367,0.7602,1.0500
147,0.7930,-0.1245,0.8169,1.0500
113,-0.1731,-1.2777,0.7035,1.0500
131,2.4837,1.7205,1.4970,1.0500
122,2.2422,-0.5858,1.6670,1.0500
121,-0.2939,-0.5858,0.6469,1.0500
111,0.6722,-0.8164,0.8736,0.9190
146,0.5515,-1.2777,0.7035,0.9190
130,1.8799,-0.5858,1.3270,0.9190
142,-0.0523,-0.8164,0.7602,0.9190
101,-0.0523,-0.8164,0.7602,0.9190
125,1.6384,0.3367,1.2703,0.7880
137,0.6722,0.1061,0.9869,0.7880
107,1.7591,-0.3552,1.4403,0.7880
70,0.0684,0.3367,0.5902,0.7880
108,1.0345,-1.2777,1.1569,0.7880
126,0.4307,-0.5858,0.5902,0.7880
116,0.7930,-0.1245,0.9869,0.7880
103,0.5515,-0.3552,1.0436,0.7880
149,0.0684,-0.1245,0.7602,0.7880
127,0.3100,-0.1245,0.6469,0.7880
138,0.1892,-0.1245,0.5902,0.7880
123,0.5515,-0.8164,0.6469,0.7880
77,1.0345,-0.1245,0.7035,0.6569
106,-1.1392,-1.2777,0.4202,0.6569
