string,string,int,int,double,double,double,double
NAME,STATE,MEDIANRENT,POP2000,PER_80_90,PER_90_00,MALE8090,WHITE8090
Ferry,Washington,197,7260,8.3,15.3,-0.003,-1.133
Stevens,Washington,231,40066,6.8,29.5,-0.136,-0.852
Okanogan,Washington,222,39564,8.8,18.6,0.213,-4.836
Pend Oreille,Washington,237,11732,3.9,31.6,-0.668,-0.16
Boundary,Idaho,217,9871,14.3,18.5,1.327,-2.541
Whatcom,Washington,361,166814,19.8,30.5,-0.014,-1.251
Bonner,Idaho,251,36835,10.2,38.4,-0.125,-0.381
Skagit,Washington,341,102979,24,29.4,0.262,-2.097
San Juan,Washington,384,14077,28,40.3,-0.235,-0.497
Chelan,Washington,306,66616,16,27.5,0.202,-4.479
Clallam,Washington,308,64525,9.3,14.3,-0.105,-1.246
Snohomish,Washington,467,606024,37.9,30.1,0.15,-2.345
Island,Washington,397,71558,36.7,18.9,0.198,-1.766
Douglas,Washington,338,32603,18.3,24.4,0.276,-4.376
Jefferson,Washington,312,25953,26.2,28.8,-0.4,-0.172
Shoshone,Idaho,169,13771,-27.5,-1.1,-1.164,-0.526
Spokane,Washington,288,417939,5.7,15.7,0.136,-0.825
Kootenai,Idaho,296,108685,16.8,55.7,-0.145,-0.221
Grant,Washington,244,74698,12.9,36.4,0.085,-4.241
Lincoln,Washington,198,10184,-7.7,14.9,-0.068,-0.398
Kitsap,Washington,380,231969,28.9,22.3,-0.24,-2.224
King,Washington,457,1737034,18.7,15.2,-0.026,-3.543
Mason,Washington,298,49405,23,28.9,0.075,-1.462
Kittitas,Washington,260,33362,7.4,24.8,0.1,-1.336
Grays Harbor,Washington,253,67194,-3.2,4.7,-0.142,-1.312
Benewah,Idaho,172,9171,-4.3,15.5,-0.373,-2.104
Pierce,Washington,374,700820,20.7,19.6,-0.449,-2.646
Adams,Washington,218,16428,2.5,20.8,1.24,-18.571
Whitman,Washington,303,40740,-3.3,5.1,-0.165,-1.811
Thurston,Washington,382,207355,29.8,28.6,-0.317,-2.491
Latah,Idaho,264,34935,6.5,14.1,-0.843,-1.412
Yakima,Washington,270,222581,9.5,17.9,0.184,-9.032
Clearwater,Idaho,194,8930,-18.1,5,0.576,-0.903
Pacific,Washington,240,20984,9.5,11.1,-0.327,-2.66
Lewis,Washington,276,68600,5.9,15.6,-0.028,-0.716
Franklin,Washington,234,49347,7,31.7,0.455,-13.894
Benton,Washington,283,142475,2.8,26.6,-1.213,-2.853
Garfield,Washington,191,2397,-8.9,6.6,-1.425,-0.468
Idaho,Idaho,188,15511,-6.7,12.5,-0.264,-1.218
Nez Perce,Idaho,249,37410,1.6,10.8,-0.325,-1.003
Columbia,Washington,214,4064,-0.8,1,0.206,-0.77
Walla Walla,Washington,259,55180,2.1,13.9,0.075,-3.496
Lewis,Idaho,164,3747,-14.6,6.6,-0.37,0.262
Asotin,Washington,257,20551,4.6,16.7,-0.417,-0.827
Skamania,Washington,264,9872,4.7,19.1,-0.487,-1.522
Cowlitz,Washington,296,92948,3.2,13.2,-0.06,-1.14
Wahkiakum,Washington,221,3824,-13.2,14.9,-0.177,-0.275
Clatsop,Oregon,288,35630,2.5,7,0.252,-0.028
Columbia,Oregon,280,43560,5.4,16,0.172,-0.739
Clark,Washington,378,345238,23.8,45,-0.153,-1.553
Klickitat,Washington,249,19161,5,15.3,-0.005,-2.03
Umatilla,Oregon,252,70548,0.7,19.1,1.079,-4.345
Wallowa,Oregon,220,7226,-5,4.6,-0.585,-0.501
Morrow,Oregon,247,10995,1.4,44.2,-0.834,-6.037
Union,Oregon,243,24530,-1.4,3.9,-0.488,-0.885
Gilliam,Oregon,221,1915,-16.5,11.5,-0.413,2.443
Tillamook,Oregon,277,24262,1.9,12.5,-0.562,-0.597
Washington,Oregon,429,445342,26.7,42.9,-0.206,-3.097
Sherman,Oregon,214,1934,-11.7,0.8,0.745,-1.48
Multnomah,Oregon,347,660486,3.8,13.1,0.444,-2.614
Hood River,Oregon,316,20411,6.7,20.8,0.118,-0.686
Wasco,Oregon,275,23791,-0.2,9.7,-0.861,-3.332
Lemhi,Idaho,196,7806,-7.5,13.1,-0.572,-0.673
