Name,hosp per 1000,pop2008,Admissions
Alabama,150.4220858,4661900,701252.7218
Alaska,82.78832676,686293,56817.04914
Arizona,106.5218643,6500180,692411.2919
Arkansas,129.269221,2855390,369114.041
California,89.63293653,36756666,3294607.911
Colorado,87.61857158,4939456,432788.0791
Connecticut,113.3238101,3501252,396775.2168
Delaware,123.7759666,873092,108067.8062
District of Columbia,232.0072345,591833,137309.5376
Florida,130.814378,18328340,2397610.397
Georgia,100.9542419,9685744,977816.9428
Hawaii,86.32463448,1288198,111203.2215
Idaho,89.29893384,1523816,136075.1442
Illinois,124.9745187,12901563,1612366.626
Indiana,108.8785712,6376792,694296.0018
Iowa,123.2484373,3002555,370060.2117
Kansas,117.2029365,2802134,328418.3333
Kentucky,144.2161381,4269245,615694.0265
Louisiana,146.9468956,4410796,648152.7793
Maine,115.3023025,1316456,151790.4079
Maryland,124.2460412,5633597,699952.125
Massachusetts,130.6122481,6497967,848714.0779
Michigan,119.567542,10003422,1196084.58
Minnesota,122.1968666,5220393,637915.667
Mississippi,143.1859489,2938618,420768.8068
Missouri,141.7242573,5911605,837817.8281
Montana,111.561072,967440,107928.6435
Nebraska,120.9464147,1783432,215699.7063
Nevada,95.18543437,2600167,247498.0253
New Hampshire,92.52501087,1315809,121745.242
New Jersey,124.8256949,8682661,1083819.193
New Mexico,86.33925829,1984356,171327.8252
New York,131.658549,19490297,2566064.223
North Carolina,113.4428176,9222414,1046216.629
North Dakota,139.1400858,641481,89255.72138
Ohio,134.4891569,11485910,1544730.352
Oklahoma,125.5010621,3642361,457120.1741
Oregon,92.61992472,3790060,351035.0719
Pennsylvania,151.2437432,12448279,1882724.312
Rhode Island,121.4928268,1050788,127663.2045
South Carolina,117.7468839,4479800,527482.4905
South Dakota,125.5077153,804194,100932.5516
Tennessee,157.5129545,6214888,978925.3708
Texas,103.2492372,24326974,2511741.509
United States,117.1867,304059724,35631755.66
Utah,84.66656334,2736424,231683.6159
Vermont,80.30853725,621270,49893.28494
Virginia,102.0889147,7769089,793137.8642
Washington,88.76489853,6549224,581341.2038
West Virginia,158.3258602,1814468,287277.2069
Wisconsin,109.4957905,5627967,616238.6956
Wyoming,101.5186581,532668,54075.74057
