AREA,STATE_NAME,SUB_REGION,STATE_ABBR,Three_null,half_null,but_three,all_same,WHITE,BLACK,AMERI_ES,ASIAN_PI,OTHER,HISPANIC,AGE_UNDER5,AGE_5_17,AGE_18_29,AGE_30_49,AGE_50_64,AGE_65_UP,NEVERMARRY,MARRIED,SEPARATED,WIDOWED,DIVORCED,HSEHLD_1_M,HSEHLD_1_F,MARHH_CHD,MARHH_NO_C,MHH_CHILD,FHH_CHILD,HSE_UNITS,VACANT,OWNER_OCC,RENTER_OCC,UNITS_1DET,UNITS_1ATT,UNITS2,UNITS3_9,UNITS10_49,UNITS50_UP,MOBILEHOME,NO_FARMS87,NO_FARMS87,AVG_SIZE87,CROP_ACR87,AVG_SALE87,FIPS
51715.656,Alabama,E S Cen,AL,234528, ,0.479178397,1,0.736476408,0.252613049,0.00408505,0.005394513,0.00143098,0.006095401,0.070112338,0.191925827,0.188808458,0.281485586,0.138233875,0.129433916,0.18682137,0.443411811,0.016829733,0.068372986,0.067690907,0.034207901,0.054412391,0.103437941,0.108988372,0.005379416,0.032890271,0.413400083,0.040486444,0.262807607,0.110106032,0.280634225,0.007905535,0.010467539,0.029753598,0.020289874,0.005068323,0.055513469,0.01072072,43318,211,4496607,44053,1
113711.522,Arizona,Mtn,AZ, , , ,1,0.808458846,0.030154741,0.055529151,0.015062092,0.09079517,0.187802232,0.079901987,0.187780951,0.193910993,0.283237496,0.124542593,0.13062598,0.197430555,0.430159324,0.015558377,0.049792537,0.07980022,0.040428863,0.051702104,0.095053295,0.108973848,0.008090902,0.027176754,0.452749461,0.079282107,0.239701596,0.133765758,0.236788544,0.030008774,0.007864722,0.032919098,0.041967921,0.028207249,0.068371463,0.002092366,7669,4732,1453852,212354,4
52912.795,Arkansas,W S Cen,AR, ,  , ,1,0.827295409,0.159062417,0.005433643,0.00533027,0.002878261,0.008455264,0.070049453,0.194180093,0.177005817,0.271744675,0.138105053,0.148914909,0.161380425,0.465702709,0.014997926,0.069911198,0.068579693,0.034145211,0.056796095,0.105555095,0.118783354,0.005878612,0.02912761,0.425684417,0.046576269,0.263722043,0.115386104,0.301503153,0.007731657,0.013583044,0.023785853,0.01519276,0.003718002,0.055958055,0.020522179,48242,298,9950401,68825,5
157774.187,California,Pacific,CA,29760021, , ,1,0.689661039,0.074220411,0.008137225,0.095620195,0.13236113,0.258331068,0.080568324,0.179872521,0.210561478,0.305516014,0.118120448,0.105361216,0.234315292,0.403580864,0.02057643,0.046563038,0.073222596,0.035955284,0.045693415,0.093798724,0.089988848,0.008478287,0.026354652,0.375768619,0.026938019,0.194016765,0.154813836,0.205620319,0.027274309,0.010839912,0.045344827,0.045081017,0.018760807,0.018659496,0.002796268,83217,368,10894503,167300,6
104099.108,Colorado,Mtn,CO,3294394, , ,1,0.881944904,0.040415931,0.008431293,0.018170868,0.051037004,0.128795159,0.076764649,0.184669168,0.189753563,0.327993859,0.120817668,0.100001093,0.200573763,0.435151655,0.015834475,0.043002142,0.08282373,0.047011378,0.056486261,0.103988776,0.105546574,0.006952417,0.027012252,0.448443325,0.059148966,0.242313761,0.146980598,0.26846546,0.026541148,0.010574024,0.03612713,0.059175982,0.016516239,0.026919367,0.008281948,27284,1248,10988853,115201,8
4976.434,Connecticut,N Eng,CT,3287116,  , ,1,0.869866777,0.083437579,0.002024267,0.015423246,0.029248131,0.064833733,0.069470016,0.15856605,0.192607745,0.306477167,0.137226067,0.135652955,0.234447157,0.436985187,0.013833707,0.059922741,0.062626631,0.035672912,0.054728826,0.094041403,0.114244523,0.004660316,0.025147576,0.401826403,0.027492489,0.24565029,0.128683624,0.227745537,0.020285563,0.03686423,0.060210835,0.03339584,0.013907632,0.003686514,0.001089101,3580,111,210012,99917,9
2054.506,Delaware,S Atl,DE,666168, , ,1,0.803241825,0.168816275,0.003030767,0.01359567,0.011315464,0.023747763,0.073290822,0.171904084,0.203430666,0.294494782,0.135686493,0.121193152,0.218413373,0.43216576,0.018594409,0.057209293,0.065219284,0.035388971,0.050852037,0.097565479,0.109563954,0.006812095,0.028423761,0.435204033,0.063680633,0.260914664,0.110608735,0.234194678,0.060286594,0.009362503,0.02676502,0.038688439,0.010266179,0.052455237,0.00445233,2966,205,501290,149553,10
55815.05,Florida,S Atl,FL, , , ,1,0.830835251,0.13599815,0.00280841,0.011926332,0.018431857,0.121668883,0.065667094,0.1558705,0.175280257,0.276135217,0.143908537,0.183138395,0.184215152,0.457916671,0.018775343,0.070698426,0.081960432,0.040068246,0.061180903,0.085197272,0.130581826,0.006707257,0.027245171,0.47150231,0.074617292,0.266824837,0.130060181,0.234409209,0.025954546,0.01525229,0.045268848,0.055882604,0.031274255,0.058962696,0.002825492,36556,306,3790599,119033,12
58629.196,Georgia,S Atl,GA,6478216, , ,1,0.710094878,0.269605861,0.002060444,0.011697819,0.006540998,0.01681358,0.07649251,0.190140002,0.205077447,0.304954327,0.122340317,0.100995397,0.203387167,0.424776049,0.020947125,0.055437485,0.072226983,0.033973242,0.049028313,0.103035157,0.098680254,0.006070962,0.034868859,0.407275398,0.041956458,0.237219475,0.128099464,0.252978135,0.011332132,0.013795156,0.042638282,0.030036047,0.005881712,0.047089353,0.006722839,43552,247,5780330,64626,13
83340.595,Idaho,Mtn,ID,1006749, , ,1,0.944079408,0.003347408,0.013687622,0.009302219,0.029583342,0.05257219,0.079655406,0.226682122,0.169172256,0.28254113,0.121497017,0.120452069,0.157253695,0.460990773,0.009616101,0.045833669,0.067629568,0.034961048,0.045297289,0.113666862,0.109028169,0.006182276,0.02115721,0.410556156,0.052251356,0.251039733,0.107265068,0.283968497,0.009040982,0.012728098,0.02785004,0.014490206,0.002636208,0.056150043,0.023980158,24142,577,6742285,94002,16
