ID	Edate	elapsed_days	source	target	general_event_code	general_event_type_name	event_code	event_type_name	pattern	news_entry_id	full_title	X1_WOEID	X1_Type	X1_Name	X1_Centroid_latitude	X1_Centroid_longitude	X2_WOEID	X2_Type	X2_Name	X2_Centroid_latitude	X2_Centroid_longitude	X3_WOEID	X3_Type	X3_Name	X3_Centroid_latitude	X3_Centroid_longitude
537	20110727	40749	ALQ	FRA	01	Armed Group	181	Abduct/ hijack	CAPTORS OF FRENCHMEN IN LINKED TO AL QAEDA	20110727  arabnews_2044	Captors of 3 Frenchmen in Yemen linked to Al-Qaeda.	23425002	Country	Yemen (Country)	15.7967	47.8507	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999
670	20110908	40792	ALQ	YMN	01	Armed Group	181	Abduct/ hijack	ABDUCT	20110908  www_142532	Al-Qaeda militants abduct medical doctor in north Yemen.	56190111	County	Marib; Ma?rib; YE (Muderiah)	15.6213	46.0092	56190112	County	Marib City; Ma?rib; YE (Muderiah)	15.4144	45.3035	99999999	NA	NA	-999	-999
1342	20120225	40962	ALQ	grp	01	Armed Group	015	Acknowledge or claim responsibility	ANNOUNCES ACCOUNTABILITY	20120225  www_132132	Al-Qaeda announces accountability of killing dozens of Yemen soldiers.	23425002	Country	Yemen (Country)	15.7967	47.8507	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999
7	20110203	40575	ALQ	YEMMIL	01	Armed Group	186	Assassinate	EXECUTES	20110203  www_19390	Al-Qaeda executes Yemeni intelligence officer.	23425002	Country	Yemen (Country)	15.7967	47.8507	24865700	Supername	Arabian Peninsula (Supername)	23.6386	50.4531	99999999	NA	NA	-999	-999
932	20111109	40854	ALQ	YMS	01	Armed Group	185	Attempt to assassinate	ESCAPES ASSASSINATION BY AL QAEDA IN SOUTH YEMEN	20111109  www_107608	Yemeni political activist escapes assassination launched by al-Qaeda in South Yemen.	23425002	Country	Yemen (Country)	15.7967	47.8507	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999
590	20110821	40774	ALQ	TRB	01	Armed Group	1831	Conduct suicide/ car/ or other non-military bombing	SUICIDE KILL	20110821  www_1177	Al-Qaeda's suicide bombers kill tribesmen in South Yemen.	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999
957	20111118	40863	ALQ	PAK	01	Armed Group	1831	Conduct suicide/ car/ or other non-military bombing	AL QAEDA'S BLEW HIMSELF IN KARACHI	20111118  www_112626	Yemeni al-Qaeda's operational head blew himself in Karachi.	2211096	Town	Karachi; Sindh; PK (Town)	24.8898	67.0285	2346499	State	Sindh; PK (Province/Territory/Capital Territory)	26.1062	68.8878	99999999	NA	NA	-999	-999
252	20110427	40658	ALQ	MIL	01	Armed Group	045	Engage in mediation	BROKERED	20110427  www_11363	Al-Qaeda in Yemen kills military amid tribal-brokered truce.	55922531	Suburb	Musaimeer; Doha; Doha; QA (Suburb)	25.2385	51.5466	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999
1226	20120118	40924	ALQ	YEM	01	Armed Group	046	Engage in negotiation	SET TERMS TO QUIT	20120118  arabnews_83739	Militants set terms to quit Yemeni town.	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999
1227	20120118	40924	ALQ	YEM	01	Armed Group	046	Engage in negotiation	SET TERMS TO QUIT	20120118  arabnews_83739	Militants set terms to quit Yemeni town.	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999
632	20110830	40783	ALQ	YEMABYANCTY	01	Armed Group	174	Expel or deport individuals	AQAP ESCAPES FROM ABYAN	20110830  www_137226	Yemen based AQAP leader escapes from Abyan province.	23425002	Country	Yemen (Country)	15.7967	47.8507	1959103	Town	Mukayris; Al Bayda?; YE (Town)	13.938	45.674	99999999	NA	NA	-999	-999
1275	20120131	40937	ALQ	YEM	01	Armed Group	194	Fight with artillery and tanks	MISSILE ATTACKS	20120131  www_56512	US drone  and missile attacks killed 10 al-Qaeda operatives in Yemen; top leader survived.	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999
141	20110406	40637	ALQ	YEMMIL	01	Armed Group	193	Fight with small arms and light weapons	SLAUGHTERS	20110406  www_10	AQAP slaughters two Yemeni soldiers.	23425002	Country	Yemen (Country)	15.7967	47.8507	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999
634	20110830	40783	ALQ	YEMMIL	01	Armed Group	193	Fight with small arms and light weapons	QAEDA KILL YEMEN TROOPS TROOPS	20110830  english_1361	'Al-Qaeda-linked fighters' kill Yemen troops.	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999
1332	20120221	40958	ALQ	MIL	01	Armed Group	193	Fight with small arms and light weapons	GUNMEN KILLED	20120221  www_132138	Al-Qaeda attacks Yemen's balloting centers; gunmen storm elections centers; soldier killed; four wounded in Mukalla; officials said.	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999
612	20110825	40778	ALQ	SOM	01	Armed Group	152	Increase military alert status	TIGHTEN NOOSE ON AL QAEDA	20110825  www_1238	Somali fighters arrive in Yemen as troops and tribesmen tighten noose on Al Qaeda.	23425002	Country	Yemen (Country)	15.7967	47.8507	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999
89	20110322	40622	ALQ	OPP	01	Armed Group	1823	Kill by physical assault other casualty	AL QAEDA KILLS INSURGENTS	20110322  www_19522	Yemen army battalion resists al-Qaeda offensive and kills 12 insurgents.	23425002	Country	Yemen (Country)	15.7967	47.8507	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999
