ID,Class,Classified,Bandwidth,Posterior_prob_1,Posterior_prob_2,Posterior_prob_3,Mahalanobis2_1,Mahalanobis2_2,Mahalanobis2_3,Category_1_P_0,Category_1_P_1,Category_1_P_2,Category_1_P_3,Category_1_P_4,Category_2_P_0,Category_2_P_1,Category_2_P_2,Category_2_P_3,Category_2_P_4,Category_3_P_0,Category_3_P_1,Category_3_P_2,Category_3_P_3,Category_3_P_4
46,1,1,6.0000,1.0000,0.0000,0.0000,1.4740,349.3838,729.9037,-133.6484,34.9138,30.0466,4.3693,-25.3278,-334.3579,30.0762,-8.6230,110.9696,30.4831,-529.7165,16.0199,-11.1474,162.6017,56.6735
75,2,2,5.3852,0.0000,1.0000,0.0000,400.8665,1.0766,73.3912,-151.8103,38.4217,31.8533,13.6551,-30.4448,-396.0267,42.5995,-15.4852,126.5702,22.7247,-598.7695,33.4290,-21.0763,175.9262,45.2325
135,3,3,5.3852,0.0000,0.0000,1.0000,782.3319,69.3985,10.0170,-172.0684,42.4607,36.1734,18.8695,-43.8597,-415.8724,46.2223,-9.9653,132.3735,0.1854,-607.7362,39.5215,-16.7116,177.6317,19.1307
22,1,1,5.0000,1.0000,0.0000,0.0000,2.1699,495.9443,888.9220,-210.2651,43.8150,52.7619,29.5139,-60.5616,-493.5280,43.1010,3.2068,167.4831,-19.5189,-713.9395,36.8097,-4.1498,218.8169,-3.9515
145,3,3,5.0000,0.0000,0.0000,1.0000,970.4665,87.0817,4.4757,-258.6940,43.3010,75.5849,44.6793,-82.0106,-551.3301,34.6604,31.9536,196.1640,-52.9142,-795.2037,27.5773,27.4962,252.7393,-42.9687
55,2,2,5.0000,0.0000,1.0000,0.0000,551.9069,1.6469,70.2703,-300.7602,39.1073,97.9418,63.0866,-97.3921,-623.7879,24.2795,60.8452,231.3835,-81.2301,-903.9447,15.8579,59.2490,295.8619,-75.5938
103,3,3,5.0000,0.0000,0.0000,1.0000,1109.2879,94.2995,3.6960,-207.9401,29.5336,76.1831,13.4472,-60.8256,-448.8002,8.8429,15.6290,179.2398,-13.8043,-711.0522,-1.8784,3.0267,241.9090,10.8305
31,1,1,4.4721,1.0000,0.0000,0.0000,3.9210,679.9318,1412.3393,-172.8397,25.9692,74.9475,-22.1834,-39.3462,-417.9914,11.4923,-34.7622,159.6419,89.7280,-768.0907,3.3692,-69.0931,231.7773,159.2050
6,1,1,5.0000,1.0000,0.0000,0.0000,3.3480,494.1450,1034.9177,-136.5253,28.8767,51.3639,-32.5785,-8.9199,-263.8510,13.6231,-15.7462,74.4515,101.2670,-515.9149,7.8553,-38.8637,119.5443,167.0782
77,2,2,4.4721,0.0000,1.0000,0.0000,547.8263,2.2136,135.4169,-122.0966,26.0815,35.2091,-12.3173,13.7825,-365.5055,13.1054,-16.9403,106.0282,144.0774,-734.3564,7.5639,-35.7544,163.5773,227.2025
