Number,Sepallength,Sepalwidth,Petallength,Petalwidth,Stemlength,Leaflength,Leafwidth,Bedrock,Soil,Landuse,Class
145,6.7,3,5.2,2.3,47.16134912,31.59810391,5.3,2,1,5,3
140,6.7,3.1,5.6,2.4,16.1788506,10.8398299,5.5,2,5,5,3
120,6.9,3.2,5.7,2.3,19.16598889,13.22453233,5.5,2,6,5,3
136,6.3,3.4,5.6,2.4,19.29455173,12.15556759,5.8,2,5,5,3
135,7.7,3,6.1,2.3,75.79375552,58.36119175,5.3,2,6,5,3
115,6.4,3.2,5.3,2.3,68.68944178,43.96124274,5.5,2,6,5,3
148,6.2,3.4,5.4,2.3,43.23010944,26.80266785,5.7,2,5,5,3
114,5.8,2.8,5.1,2.4,16.76223107,9.722094021,5.2,2,3,5,3
143,6.8,3.2,5.9,2.3,29.952348351,6.767596879,5.5,2,3,5,3
118,7.7,2.6,6.9,2.3,54.3700757,41.86495829,4.9,2,8,5,3
141,6.9,3.1,5.1,2.3,30.21580878,20.84890806,5.4,2,3,5,3
144,6.7,3.3,5.7,2.5,33.94091146,22.74041068,5.8,2,6,5,3
109,7.2,3.6,6.1,2.5,39.44463015,28.40013371,6.1,2,6,5,3
104,6.5,3,5.8,2.2,65.44627319,42.54007757,5.2,2,1,5,3
100,6.3,3.3,6,2.5,81.57866308,51.39455774,5.8,2,1,5,3
117,7.7,3.8,6.7,2.2,24.53292434,18.89035174,6,2,8,4,3
132,6.4,2.8,5.6,2.2,15.66171228,10.02349586,5,2,5,5,3
124,6.7,3.3,5.7,2.1,15.43903327,10.34415229,5.4,2,3,5,3
112,6.8,3,5.5,2.1,33.415182788,2.322324296,5.1,2,3,5,3
128,6.4,2.8,5.6,2.1,76.92791375,49.2338648,4.9,2,3,5,3
102,7.1,3,5.9,2.1,76.64726097,54.41955529,5.1,2,6,5,3
139,6.9,3.1,5.4,2.1,50.3694216,34.75490091,5.2,2,3,5,3
105,7.6,3,6.6,2.1,42.52960497,32.32249977,5.1,2,6,4,3
110,6.5,3.2,5.1,2,14.70920719,9.560984672,5.2,1,3,5,3
147,6.5,3,5.2,2,56.06462667,36.44200734,5,1,7,5,3
113,5.7,2.5,5,2,60.27081883,34.35436673,4.5,1,3,5,3
