String,Double,Double,Double,String,String,String
NAME,POP80,POP90,POP2000,PLACE4,PLACE,FIPC
Gaffney,13453,13145,12968,505,28060,21
Fort Mill,4162,4930,7587,490,26890,91
York,6412,6709,6985,1605,79630,91
Spartanburg,43968,43467,39673,1340,68290,83
Rock Hill,35344,41643,49765,1195,61405,91
Greer,10525,10322,16843,575,30985,45
Greenville,58242,58282,56002,565,30850,45
Easley,14264,15195,17754,390,21985,77
Mauldin,8245,11587,15224,900,45115,45
Simpsonville,9037,11708,14352,1290,66580,45
Lancaster,9603,8914,8177,745,39895,57
Union,10523,9836,8793,1455,73105,87
Chester,6820,7158,6476,260,14095,23
Cheraw,5654,5505,5524,250,13600,25
Seneca,7436,7726,7652,1270,65095,73
Clemson,8118,11096,11939,275,14950,77
Fountain Inn,4226,4388,6017,495,27070,45
Bennettsville,8774,9345,9425,110,05680,69
Anderson,27313,26184,25514,35,01360,7
Laurens,10587,9694,9916,775,40615,59
Clinton,8596,7987,8091,285,15295,59
Dillon,7060,6829,6316,360,19420,33
Hartsville,7631,8372,7556,595,32560,31
Darlington,7989,7311,6720,350,18565,31
Newberry,9866,10542,10580,955,49570,71
Camden,7462,6696,6682,200,10855,55
Florence,30062,29813,30248,465,25810,41
Greenwood,21613,20807,22071,570,30895,47
Marion,7700,7658,7042,895,44575,67
Abbeville,5833,5778,5840,5,00100,1
Irmo,3957,11280,11039,655,35890,63
Forest Acres,6033,7197,10558,475,26305,79
Columbia,101208,98052,116278,305,16000,79
West Columbia,10409,10588,13064,1525,75850,63
Lexington,2131,3289,9793,785,41335,63
Cayce,11701,11163,12150,220,12655,63
Sumter,24890,41943,39643,1400,70405,85
Batesburg-Leesville,6319,6108,5517,90,04300,63
Lake City,6731,7153,6478,730,39310,41
Conway,10240,9819,11788,315,16405,51
Myrtle Beach,18446,24848,22759,945,49075,51
Aiken,14978,19872,25337,10,00550,3
North Augusta,13593,15351,17574,985,50695,3
Orangeburg,14933,13739,12765,1015,53080,75
Barnwell,5572,5255,5035,85,04060,11
Moncks Corner,3699,5607,5952,920,47275,15
Summerville,6368,22519,27752,1390,70270,35
Goose Creek,17811,24692,29208,536,29815,15
Hanahan,13224,13176,12937,582,32065,19
Walterboro,6209,5492,5153,1490,74275,29
North Charleston,62534,70218,79641,987,50875,19
Mt. Pleasant,13838,30108,47608,935,48535,19
Charleston,69510,80414,96650,245,13330,19
Beaufort,8634,9576,12950,100,04690,13
Georgetown,10144,84,8950,680,28870,43
North Myrtle Beach,3960,8636,10974,992,51280,51
Hilton Head,-1,23694,33862,619,34045,13
