string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
FIPC,CNTYNAME,AREA,PERIMETER,POP1930,POP1960,POP1990,POP2000,POP1RACE,WHITE,BLACK,AMERIND,ASIAN,HAWPAC,POP1OTHER,POP2MRACE,POP2RACES,TNHISPANIC,TNNONHISP,TotalPop,NoralizePop,MalePop,UrbanPop,RuralPop,OneRacePop,MedianAge
83,Spartanburg,2120200000,194598.6,116323,156830,226800,253791,251160,190569,52775,555,3738,86,3437,2631,2469,7081,246710,26167,0.044,0.48,0.23,0.77,0.9929,37
21,Cherokee,1028100000,158872.5,32201,35205,44506,52537,52097,40409,10801,103,163,11,610,440,415,1092,51445,142552,0.359,0.48,0.61,0.39,0.9882,36
91,York,1799900000,194346.2,53418,78760,131497,164614,163122,127162,31532,1403,1459,39,1527,1492,1419,3220,161394,11211,0.003,0.52,0.6,0.4,0.9949,35
57,Lancaster,1436700000,232346.6,27980,39352,54516,61351,60913,43577,16479,133,164,12,548,438,398,978,60373,165740,0.421,0.48,0.58,0.42,0.9921,37
87,Union,1335700000,169134.2,30920,30015,30337,29881,29699,20262,9278,44,55,11,49,182,157,199,29682,16658,0.018,0.47,0.46,0.54,0.9947,35
7,Anderson,1960800000,203589.6,80949,98478,145196,165740,164430,135177,27491,362,703,27,670,1310,1184,1832,163908,23478,0.037,0.48,0.15,0.85,0.9928,36
23,Chester,1517300000,172978.4,31803,30888,32170,34068,33879,20416,13168,112,96,2,85,189,180,255,33813,120937,0.3,0.51,0.72,0.28,0.9859,36
69,Marlboro,1256200000,185538.4,31634,28529,29361,28818,28545,12820,14618,968,70,1,68,273,261,205,28613,142651,0.359,0.51,0.66,0.34,0.983,32
55,Kershaw,1917500000,227001.5,32070,33585,43599,52647,52205,37701,13840,154,164,18,328,442,410,886,51761,15185,0.014,0.47,0,1,0.9931,39
39,Fairfield,1836900000,185623.1,23287,20713,22295,23454,23325,9282,13859,36,44,0,104,129,121,250,23204,309969,0.812,0.48,0.87,0.13,0.9884,35
31,Darlington,1468400000,207929.5,41427,52928,61851,67394,67041,38402,28104,127,142,6,260,353,314,658,66736,52537,0.115,0.48,0.39,0.61,0.9916,35
1,Abbeville,1323000000,165049,23323,21417,23862,26167,25981,17881,7926,27,59,7,81,186,170,217,25950,34068,0.065,0.48,0.33,0.67,0.9945,36
47,Greenwood,1199000000,172736.2,36078,44346,59567,66271,65782,43455,21036,116,470,24,681,489,454,1902,64369,42768,0.089,0.48,0.27,0.73,0.9925,36
61,Lee,1064700000,166759.2,24096,21832,18437,20119,20020,7048,12787,27,39,1,118,99,83,264,19855,32502,0.061,0.49,0.15,0.85,0.9948,37
41,Florence,2078500000,237224.9,61027,84438,114344,125761,124909,73760,49474,282,881,21,491,852,793,1383,124378,38264,0.077,0.48,0.26,0.74,0.9918,37
67,Marion,1283800000,221032.8,27221,32014,33899,35466,35282,14787,19984,90,99,2,320,184,170,634,34832,67394,0.155,0.47,0.45,0.55,0.9948,36
79,Richland,1995500000,265891.4,87667,200102,285720,320677,316355,161276,144809,782,5501,263,3724,4322,3890,8713,311964,30722,0.056,0.47,0.34,0.66,0.993,34
63,Lexington,1961000000,217082.5,36494,60726,167611,216014,213891,181844,27274,725,2259,83,1706,2123,1984,4146,211868,96413,0.234,0.49,0.73,0.27,0.9864,35
85,Sumter,1765200000,249133.8,45902,74941,102637,104646,103429,52462,48850,282,944,58,833,1217,1110,1918,102728,24595,0.04,0.53,0.21,0.79,0.9931,36
37,Edgefield,1311400000,162285.7,19326,15735,18375,24595,24426,13962,10209,81,59,8,107,169,157,503,24092,23454,0.037,0.48,0.25,0.75,0.9945,37
27,Clarendon,1800100000,216631.7,30036,29490,28450,32502,32333,14602,17273,78,84,10,286,169,143,560,31942,125761,0.313,0.47,0.58,0.42,0.9932,36
89,Williamsburg,2423900000,232588.8,34914,40932,36815,37217,37038,12184,24660,60,73,0,61,179,149,273,36944,55797,0.124,0.48,0.55,0.45,0.9951,39
17,Calhoun,1017000000,216199.5,16707,12256,12753,15185,15080,7597,7393,29,21,4,36,105,98,212,14973,379616,1,0.49,0.83,0.17,0.9886,36
3,Aiken,2797100000,248464.4,47403,81038,120940,142552,140875,101745,36442,566,905,36,1181,1677,1545,3025,139527,66271,0.152,0.47,0.57,0.43,0.9926,35
43,Georgetown,2173000000,308632.8,21738,34798,46302,55797,55525,33307,21541,77,130,17,453,272,245,919,54878,21386,0.031,0.51,0.36,0.64,0.9957,35
11,Barnwell,1441900000,165337.8,21221,17659,20293,23478,23308,12956,9990,81,91,8,182,170,137,327,23151,196629,0.505,0.49,0.6,0.4,0.9893,38
9,Bamberg,1023300000,146980,19410,16274,16902,16658,16569,6075,10411,27,32,1,23,89,77,118,16540,20678,0.029,0.53,0.17,0.83,0.9933,34
5,Allendale,1067200000,171557.5,13294,11362,11722,11211,11154,3068,7960,10,14,7,95,57,49,181,11030,52647,0.115,0.48,0.37,0.63,0.9916,37
49,Hampton,1456700000,197232.2,17243,17425,18191,21386,21293,9173,11906,43,36,2,133,93,86,547,20839,61351,0.139,0.5,0.38,0.62,0.9929,36
45,Greenville,2063700000,267209.9,117009,209776,320167,379616,375305,294324,69455,726,5242,171,5387,4311,4033,14283,365333,69567,0.161,0.48,0.35,0.65,0.9922,36
77,Pickens,1321400000,173402.9,33709,46030,93894,110757,109813,99978,7559,179,1312,13,772,944,895,1879,108878,20119,0.027,0.5,0.19,0.81,0.9951,36
65,McCormick,1019200000,201344.7,11471,8629,8868,9958,9901,4459,5365,7,29,3,38,57,37,86,9872,216014,0.557,0.49,0.66,0.34,0.9902,36
59,Laurens,1868900000,203591.7,42094,47609,58092,69567,69025,49789,18245,192,101,36,662,542,497,1352,68215,9958,0,0.53,0,1,0.9943,41
33,Dillon,1051900000,153679.1,25733,30584,29114,30722,30506,15481,13932,679,103,8,303,216,196,539,30183,35466,0.069,0.46,0.41,0.59,0.9948,35
