double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,string,string,string,string,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
PRIN1,PRIN2,aar_w,cnt_w,pop_w,lcl_w,ucl_w,ser_w,aar_b,cnt_b,pop_b,lcl_b,ucl_b,ser_b,HI_SCHOOL,UNEMPLOYED,BLUE_COLLA,MED_INCOME,POVERTY,MED_RENT,MED_HOUSE,COUNTY_1,QUART1,QUART2,QUINT1,QUINT2,NAME,STATE,STATE_FIPS,CNTY_FIPS,FIPS,AREA,POP1990,POP1999,POP90_SQMI,HOUSEHOLDS,MALES,FEMALES,WHITE,BLACK,AMERI_ES,ASIAN_PI,OTHER,HISPANIC,AGE_UNDER5,AGE_5_17,AGE_18_29,AGE_30_49,AGE_50_64,AGE_65_UP,NEVERMARRY,MARRIED,SEPARATED,WIDOWED,DIVORCED,HSEHLD_1_M,HSEHLD_1_F,MARHH_CHD,MARHH_NO_C,MHH_CHILD,FHH_CHILD,HSE_UNITS,VACANT,OWNER_OCC,RENTER_OCC,MEDIAN_VAL,MEDIANRENT,UNITS_1DET,UNITS_1ATT,UNITS2,UNITS3_9,UNITS10_49,UNITS50_UP,MOBILEHOME,NO_FARMS87,AVG_SIZE87,CROP_ACR87,AVG_SALE87,PR100,PR030,PR040,PR050,PR002,PR003,PR005,PR006
-0.1925,0.1813,186.7,165,70179,159.1,218.8,14.7,,2,1778,,,,0.8074,0.0572,0.4674,34082,0.3444,481,102100,127,3,3,3,3,Wayne,Pennsylva,42,127,42127,751.063,39944,45497,53,14638,19803,20141,39470,282,43,97,52,371,2663,7389,6022,11162,5942,6766,7060,19119,604,2832,1997,1249,1980,4171,5051,194,712,28480,13842,11600,3038,89800,299,20532,157,989,738,30,73,5363,691,201,71573,41400,167.7,271.6,1041.3,1004.6,98.8,14.6,100.6,28.2
0.1851,-0.1493,105,45,41241,76.2,143.2,15.9,,0,348,,,,0.8369,0.0494,0.4913,36365,0.3139,470,93900,131,3,2,4,2,Wyoming,Pennsylva,42,131,42131,400.6997,28076,29055,70,10002,13865,14211,27798,135,25,81,37,135,2006,5732,4926,8335,3540,3537,5302,12773,443,1662,1566,961,1244,3243,2968,167,580,11857,1855,7687,2315,67600,267,8229,114,504,573,164,0,2081,367,198,38342,68170,133.9,221.3,783.3,783.8,92.1,12.8,92.1,27.1
0.2969,0.398,132,469,291811,120.3,144.7,6.1,,3,5653,,,,0.8201,0.0535,0.3921,34438,0.2999,440,93400,69,3,3,4,4,Lackawann,Pennsylva,42,69,42069,453.7797,219039,206626,483,84528,102389,116650,215634,1572,163,1364,306,1089,13229,34722,37283,57486,33126,43193,49682,94433,3229,20845,11067,7870,16176,19946,25526,908,4676,91707,7179,56625,27903,68900,253,52008,3533,15249,12336,2425,1677,3263,299,141,26308,36174,141.3,239,915.8,760.3,106.7,9.8,106.8,17.6
-0.2763,-1.2388,138.6,83,51255,110.3,173.1,15.3,,0,1220,,,,0.827,0.0454,0.5795,37550,0.2526,418,78000,47,3,1,3,1,Elk,Pennsylva,42,47,42047,827.0807,34878,34333,42,13131,17135,17743,34702,15,35,98,28,56,2386,6568,5496,9372,5480,5576,6402,16723,373,2486,1477,1260,1923,3882,4310,181,609,17249,4118,10467,2664,49900,209,12136,118,951,728,70,201,1669,168,111,10716,18487,186.7,317.2,1104.3,1080.8,141.7,24.7,143.6,34.4
-1.8305,0.744,102.2,102,81931,83.2,125,10.2,,2,1400,,,,0.8101,0.072,0.4905,32257,0.3481,382,55900,121,1,4,1,4,Venango,Pennsylva,42,121,42121,686.0394,59381,57632,87,22408,28774,30607,58636,497,55,138,55,201,3914,11476,8647,17155,9268,8921,10527,27955,1056,4069,3114,1927,3432,6243,7390,364,1373,26961,4553,16692,5716,38600,209,19227,267,1441,1337,557,236,3338,456,143,36239,15328,125,213.5,890.7,610.7,90.7,14.3,90.7,22.6
-3.2237,0.3243,146.6,18,7431,86.5,278,34.8,,0,418,,,,0.7944,0.0706,0.565,27581,0.434,337,57300,53,1,3,1,4,Forest,Pennsylva,42,53,42053,442.1147,4802,5024,11,1908,2475,2327,4731,43,11,3,14,23,261,856,622,1222,871,970,855,2374,83,407,275,241,261,460,685,23,75,8445,6537,1546,362,35700,191,3221,14,45,29,23,0,1900,34,181,2806,17529,184,323.3,1225.1,896.6,147.6,,147.6,
-2.093,-0.5937,176.1,20,8584,107.4,289.7,39.4,,0,178,,,,0.7978,0.0634,0.6017,32212,0.3183,368,61300,23,1,2,1,2,Cameron,Pennsylva,42,23,42023,400.738,5913,5573,15,2395,2890,3023,5880,7,15,6,5,3,427,1086,825,1559,921,1095,946,2734,130,479,367,275,428,574,759,38,152,4399,2004,1752,643,39800,184,3053,22,186,221,13,74,792,25,104,1395,-99,224.6,251.5,1828.7,1130.1,192.5,,192.5,
2.9331,0.7964,39.6,33,68700,27,57.9,7,,1,2831,,,,0.8679,0.0538,0.4216,44608,0.241,701,118300,103,4,4,5,5,Pike,Pennsylva,42,103,42103,584.7633,27966,41323,48,10536,13861,14105,27420,256,48,133,109,651,2254,4809,4004,8168,4374,4357,3863,14616,408,1710,1267,884,1224,3175,3885,162,376,30852,20316,8775,1761,117700,445,24251,710,369,446,51,0,4559,44,124,2382,29193,60.6,100.6,398.8,434.8,37.7,4.4,38,6.4
-0.6048,0.3624,147.7,275,165965,130.7,166.6,8.9,,5,8046,,,,0.8058,0.0632,0.4693,34016,0.3258,449,86200,81,2,3,3,4,Lycoming,Pennsylva,42,81,42081,1255.1501,118710,116613,95,44949,57265,61445,115040,2816,219,469,166,641,8165,21391,20517,33665,17032,17940,21956,54554,1925,8026,7514,3940,6892,12012,14269,769,2885,49580,4631,31332,13617,54900,256,31741,3234,2998,4207,1456,599,4456,847,165,89588,40426,158.5,288.8,887.8,916.3,121.1,11.5,121.5,19.3
